Martin JOHANSSON POSITION,Martin JOHANSSON LAP TIME,Martin JOHANSSON ELAPSED TIME,Nicola FRANCESCHINA POSITION,Nicola FRANCESCHINA LAP TIME,Nicola FRANCESCHINA ELAPSED TIME,Balazs KNOCH POSITION,Balazs KNOCH LAP TIME,Balazs KNOCH ELAPSED TIME,Laszlo VRENCEAN POSITION,Laszlo VRENCEAN LAP TIME,Laszlo VRENCEAN ELAPSED TIME
1,6.901,6.901,2,6.965,6.965,3,7.207,7.207,4,7.350,7.350
2,9.586,16.486,1,9.379,16.343,3,9.306,16.513,4,9.464,16.813
3,9.128,25.614,1,9.132,25.475,2,9.064,25.577,4,9.016,25.829
3,9.075,34.688,1,9.022,34.497,2,9.107,34.684,4,9.399,35.227
3,9.61,44.296,1,9.52,44.011,2,9.44,44.118,4,9.89,45.110
