KOREA POSITION,KOREA LAP TIME,KOREA ELAPSED TIME,JAPAN POSITION,JAPAN LAP TIME,JAPAN ELAPSED TIME,UNITED STATES POSITION,UNITED STATES LAP TIME,UNITED STATES ELAPSED TIME,BULGARIA POSITION,BULGARIA LAP TIME,BULGARIA ELAPSED TIME
1,12.23,12.23,4,12.85,12.85,2,12.27,12.27,3,12.69,12.69
1,8.93,21.16,4,9.26,22.11,2,9.38,21.65,3,9.30,21.99
1,9.15,30.31,3,9.12,31.23,2,9.33,30.98,4,14.95,36.94
1,9.41,39.72,3,9.21,40.44,2,9.24,40.22,4,10.98,47.92
1,9.22,48.94,3,9.31,49.75,2,9.22,49.44,4,10.12,58.04
1,9.10,58.04,3,9.24,58.99,2,9.21,58.65,4,10.31,1:08.35
2,9.82,1:07.86,3,8.95,1:07.94,1,9.08,1:07.73,4,10.47,1:18.82
2,9.15,1:17.01,3,9.49,1:17.43,1,9.19,1:16.92,4,10.02,1:28.84
2,9.29,1:26.30,3,9.22,1:26.65,1,9.36,1:26.28,4,9.89,1:38.73
1,9.50,1:35.80,3,9.45,1:36.10,2,9.54,1:35.82,4,9.74,1:48.47
1,9.05,1:44.85,3,9.52,1:45.62,2,9.47,1:45.29,4,10.19,1:58.66
1,9.76,1:54.61,3,9.53,1:55.15,2,9.52,1:54.81,4,9.98,2:08.64
2,9.83,2:04.44,3,9.46,2:04.61,1,9.50,2:04.31,4,9.84,2:18.48
3,12.78,2:17.22,2,9.59,2:14.20,1,9.50,2:13.81,4,9.95,2:28.43
3,8.93,2:26.15,2,9.39,2:23.59,1,9.43,2:23.24,4,9.65,2:38.08
3,9.17,2:35.32,2,9.40,2:32.99,1,9.52,2:32.76,4,9.77,2:47.85
3,9.38,2:44.70,1,9.54,2:42.53,2,9.84,2:42.60,4,10.13,2:57.98
3,9.03,2:53.73,1,9.58,2:52.11,2,9.52,2:52.12,4,9.89,3:07.87
3,9.90,3:03.63,1,9.44,3:01.55,2,9.61,3:01.73,4,10.11,3:17.98
3,9.53,3:13.16,1,9.70,3:11.25,2,9.53,3:11.26,4,10.16,3:28.14
3,9.41,3:22.57,2,9.80,3:21.05,1,9.46,3:20.72,4,9.86,3:38.00
3,8.96,3:31.53,1,9.21,3:30.26,2,9.56,3:30.28,4,10.02,3:48.02
3,8.93,3:40.46,2,9.79,3:40.05,1,9.47,3:39.75,4,10.87,3:58.89
3,9.59,3:50.05,2,9.53,3:49.58,1,9.41,3:49.16,4,10.20,4:09.09
3,9.39,3:59.44,2,9.47,3:59.05,1,9.65,3:58.81,4,10.07,4:19.16
2,8.96,4:08.40,3,9.46,4:08.51,1,9.27,4:08.08,4,9.94,4:29.10
3,9.59,4:17.982,2,9.41,4:17.918,1,9.50,4:17.571,4,10.24,4:39.333
