Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Sascha LAUBER POSITION,Sascha LAUBER LAP TIME,Sascha LAUBER ELAPSED TIME,SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME
1,14.320,14.320,2,14.385,14.385,4,14.615,14.615,3,14.529,14.529
3,10.555,24.874,2,10.429,24.813,4,10.492,25.107,1,10.180,24.709
2,9.973,34.846,1,9.945,34.758,4,9.986,35.092,3,10.244,34.953
2,9.871,44.717,1,9.889,44.647,4,9.901,44.992,3,9.826,44.778
2,9.856,54.573,3,9.935,54.581,1,9.388,54.380,4,9.848,54.626
3,9.423,1:03.996,2,9.346,1:03.927,1,9.444,1:03.824,4,9.526,1:04.151
3,9.379,1:13.374,1,9.323,1:13.249,2,9.448,1:13.271,4,9.440,1:13.590
3,9.412,1:22.786,2,9.411,1:22.660,1,9.319,1:22.590,4,9.441,1:23.031
2,9.65,1:32.427,3,9.81,1:32.465,1,9.63,1:32.220,4,9.78,1:32.806
