Rozsa DARAZS POSITION,Rozsa DARAZS LAP TIME,Rozsa DARAZS ELAPSED TIME,FONG Fiona Kama POSITION,FONG Fiona Kama LAP TIME,FONG Fiona Kama ELAPSED TIME,Yuka KAMINO POSITION,Yuka KAMINO LAP TIME,Yuka KAMINO ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,FU Tian Yu POSITION,FU Tian Yu LAP TIME,FU Tian Yu ELAPSED TIME
1,8.665,8.665,5,9.755,9.755,2,8.926,8.926,4,9.558,9.558,3,9.481,9.481
1,11.242,19.907,5,12.481,22.236,2,11.171,20.097,4,10.724,20.282,3,10.789,20.269
1,10.985,30.892,5,12.377,34.612,3,10.980,31.077,4,10.834,31.116,2,10.800,31.069
1,10.993,41.884,5,12.635,47.247,3,11.024,42.101,4,11.002,42.117,2,11.002,42.071
1,11.191,53.074,5,13.338,1:00.585,4,11.240,53.340,2,11.178,53.295,3,11.259,53.329
1,11.470,1:04.544,5,13.617,1:14.202,3,11.470,1:04.810,4,11.530,1:04.825,2,11.401,1:04.730
1,11.750,1:16.294,5,14.853,1:29.054,4,11.668,1:16.478,3,11.647,1:16.471,2,11.742,1:16.471
3,11.733,1:28.027,5,13.653,1:42.707,1,11.434,1:27.912,4,11.564,1:28.034,2,11.528,1:27.999
4,11.682,1:39.708,5,14.267,1:56.974,3,11.182,1:39.093,1,10.867,1:38.901,2,10.930,1:38.928
4,11.908,1:51.615,5,14.887,2:11.860,3,10.605,1:49.697,1,10.484,1:49.384,2,10.491,1:49.419
3,12.343,2:03.958,5,14.798,2:26.658,4,25.115,2:14.812,1,10.236,1:59.620,2,10.242,1:59.661
3,12.884,2:16.841,5,14.536,2:41.194,4,11.719,2:26.530,2,10.501,2:10.121,1,10.403,2:10.063
3,13.098,2:29.939,5,15.151,2:56.345,4,11.454,2:37.983,2,10.406,2:20.527,1,10.341,2:20.404
3,13.24,2:43.177,5,14.72,3:11.063,4,11.88,2:49.858,2,10.59,2:31.110,1,10.56,2:30.958
