TREACY Farrell POSITION,TREACY Farrell LAP TIME,TREACY Farrell ELAPSED TIME,Nihad BASIC POSITION,Nihad BASIC LAP TIME,Nihad BASIC ELAPSED TIME,Artem KOZLOV POSITION,Artem KOZLOV LAP TIME,Artem KOZLOV ELAPSED TIME,Klaudio NASRI POSITION,Klaudio NASRI LAP TIME,Klaudio NASRI ELAPSED TIME
3,17.82,17.82,4,18.04,18.04,1,17.58,17.58,2,17.72,17.72
3,12.42,30.24,4,12.35,30.39,1,12.41,29.99,2,12.40,30.12
3,11.28,41.52,4,11.25,41.64,1,11.43,41.42,2,11.36,41.48
4,10.47,51.99,3,10.25,51.89,1,10.23,51.65,2,10.26,51.74
3,9.56,1:01.55,4,9.98,1:01.87,1,9.73,1:01.38,2,9.73,1:01.47
3,9.23,1:10.78,4,10.27,1:12.14,1,9.23,1:10.61,2,9.23,1:10.70
2,8.97,1:19.75,4,10.87,1:23.01,1,9.00,1:19.61,3,9.23,1:19.93
2,9.08,1:28.83,4,11.19,1:34.20,1,9.03,1:28.64,3,9.19,1:29.12
2,9.08,1:37.91,4,11.80,1:46.00,1,9.22,1:37.86,3,9.48,1:38.60
