ANTONIOLI Mattia POSITION,ANTONIOLI Mattia LAP TIME,ANTONIOLI Mattia ELAPSED TIME,Dennis VISSER POSITION,Dennis VISSER LAP TIME,Dennis VISSER ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,WOLFGANG Matthias POSITION,WOLFGANG Matthias LAP TIME,WOLFGANG Matthias ELAPSED TIME,KIM Byeong Jun POSITION,KIM Byeong Jun LAP TIME,KIM Byeong Jun ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME
2,12.65,12.65,5,12.98,12.98,4,12.86,12.86,6,13.11,13.11,3,12.69,12.69,1,12.64,12.64
2,9.45,22.10,4,9.36,22.34,3,9.38,22.24,6,9.44,22.55,4,9.65,22.34,1,9.34,21.98
2,9.34,31.44,4,9.26,31.60,3,9.34,31.58,6,9.43,31.98,5,9.44,31.78,1,9.36,31.34
2,9.35,40.79,3,9.29,40.89,4,9.41,40.99,6,9.46,41.44,5,9.33,41.11,1,9.33,40.67
3,9.39,50.18,2,9.19,50.08,4,9.29,50.28,6,9.49,50.93,5,9.31,50.42,1,9.32,49.99
3,9.24,59.42,2,9.16,59.24,4,9.24,59.52,6,10.02,1:00.95,5,9.19,59.61,1,9.12,59.11
5,9.33,1:08.75,2,9.13,1:08.37,3,9.02,1:08.54,6,10.45,1:11.40,4,9.04,1:08.65,1,9.15,1:08.26
5,9.37,1:18.12,1,9.12,1:17.49,3,9.13,1:17.67,6,10.74,1:22.14,4,9.11,1:17.76,2,9.32,1:17.58
4,9.96,1:28.08,1,9.24,1:26.73,5,10.58,1:28.25,6,11.15,1:33.29,0,,PHOTO,0,,PHOTO
