Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,Benoit ANTERIEUX POSITION,Benoit ANTERIEUX LAP TIME,Benoit ANTERIEUX ELAPSED TIME,Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME
3,13.710,13.710,4,14.260,14.260,2,13.500,13.500,1,13.480,13.480
3,10.620,24.340,4,10.430,24.690,1,10.770,24.280,2,10.810,24.290
1,10.040,34.390,4,10.170,34.870,2,10.330,34.610,3,10.500,34.800
1,9.950,44.340,4,9.950,44.830,3,9.920,44.530,2,9.670,44.470
1,9.850,54.190,4,9.810,54.650,2,9.740,54.270,3,9.860,54.340
3,9.800,1:03.990,4,9.420,1:04.070,1,9.480,1:03.760,2,9.520,1:03.860
4,9.880,1:13.870,2,8.920,1:12.990,3,9.410,1:13.170,1,9.070,1:12.930
4,10.060,1:23.940,1,9.160,1:22.160,3,9.650,1:22.820,2,9.360,1:22.290
4,10.810,1:34.760,1,9.310,1:31.480,3,9.960,1:32.790,2,9.610,1:31.910
