LUI Pan To Barton POSITION,LUI Pan To Barton LAP TIME,LUI Pan To Barton ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Viktor DIMITROV POSITION,Viktor DIMITROV LAP TIME,Viktor DIMITROV ELAPSED TIME
1,14.11,14.11,3,14.35,14.35,2,14.22,14.22
1,11.03,25.14,3,11.02,25.37,2,11.02,25.24
1,11.21,36.35,3,11.32,36.69,2,11.22,36.46
2,11.05,47.40,3,10.84,47.53,1,10.85,47.31
2,10.19,57.59,3,10.10,57.63,1,10.18,57.49
3,9.90,1:07.49,1,9.61,1:07.24,2,9.98,1:07.47
2,9.38,1:16.87,1,9.57,1:16.81,3,9.55,1:17.02
2,9.67,1:26.54,1,9.64,1:26.45,3,9.76,1:26.78
2,9.74,1:36.280,1,9.75,1:36.192,3,9.86,1:36.635
