Bartosz BIELECKI POSITION,Bartosz BIELECKI LAP TIME,Bartosz BIELECKI ELAPSED TIME,LIN Chun-Chieh POSITION,LIN Chun-Chieh LAP TIME,LIN Chun-Chieh ELAPSED TIME,KIM Si Un POSITION,KIM Si Un LAP TIME,KIM Si Un ELAPSED TIME,Yevgeniy REBIK POSITION,Yevgeniy REBIK LAP TIME,Yevgeniy REBIK ELAPSED TIME,Jacob JANSSON POSITION,Jacob JANSSON LAP TIME,Jacob JANSSON ELAPSED TIME
2,13.86,13.86,1,13.68,13.68,3,13.96,13.96,5,14.35,14.35,4,14.09,14.09
5,10.29,24.15,4,10.45,24.13,1,9.85,23.81,3,9.77,24.12,2,9.83,23.92
4,9.52,33.67,5,9.68,33.81,1,9.57,33.38,3,9.49,33.61,2,9.57,33.49
4,9.53,43.20,5,9.51,43.32,1,9.51,42.89,3,9.44,43.05,2,9.51,43.00
3,9.18,52.38,5,9.58,52.90,1,9.23,52.12,2,9.23,52.28,4,9.42,52.42
3,9.28,1:01.66,5,10.16,1:03.06,1,9.16,1:01.28,2,9.14,1:01.42,4,9.39,1:01.81
3,9.27,1:10.93,5,11.03,1:14.09,1,9.18,1:10.46,2,9.23,1:10.65,4,9.14,1:10.95
4,10.02,1:20.95,5,11.81,1:25.90,1,9.25,1:19.71,2,9.39,1:20.04,3,9.45,1:20.40
4,10.95,1:31.90,5,12.14,1:38.04,1,9.28,1:28.99,2,9.63,1:29.67,3,9.60,1:30.00
