Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Assen PANDOV POSITION,Assen PANDOV LAP TIME,Assen PANDOV ELAPSED TIME,LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME
1,13.85,13.85,2,13.97,13.97,4,14.30,14.30,3,14.11,14.11
1,10.67,24.52,2,10.68,24.65,4,10.59,24.89,3,10.66,24.77
1,10.49,35.01,2,10.48,35.13,4,10.42,35.31,3,10.47,35.24
2,10.20,45.21,4,10.25,45.38,1,9.78,45.09,3,9.99,45.23
3,9.22,54.43,4,9.20,54.58,1,9.10,54.19,2,8.98,54.21
3,9.39,1:03.82,4,9.36,1:03.94,1,9.42,1:03.61,2,9.47,1:03.68
3,9.50,1:13.32,4,9.56,1:13.50,1,9.37,1:12.98,2,9.40,1:13.08
3,9.53,1:22.85,4,9.49,1:22.99,1,9.11,1:22.09,2,9.19,1:22.27
4,9.83,1:32.671,3,9.68,1:32.670,2,9.65,1:31.733,1,9.45,1:31.717
