Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,BLACKBURN Mackenzie POSITION,BLACKBURN Mackenzie LAP TIME,BLACKBURN Mackenzie ELAPSED TIME,KIM Byeong Jun POSITION,KIM Byeong Jun LAP TIME,KIM Byeong Jun ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME
2,6.77,6.77,1,6.64,6.64,3,7.01,7.01,4,7.13,7.13,5,7.23,7.23
1,8.58,15.35,2,8.83,15.47,4,8.90,15.91,3,8.75,15.88,5,8.81,16.04
1,8.22,23.57,2,8.29,23.76,4,8.51,24.42,3,8.42,24.30,5,9.44,25.48
1,8.30,31.87,2,8.37,32.13,4,8.48,32.90,3,8.49,32.79,5,9.52,35.00
1,8.59,40.458,2,8.74,40.864,4,8.88,41.776,3,8.81,41.594,5,10.43,45.424
