Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,Mary GRACE POSITION,Mary GRACE LAP TIME,Mary GRACE ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME
1,7.23,7.23,2,7.34,7.34,4,13.05,13.05,3,7.51,7.51
1,9.45,16.68,2,10.30,17.65,4,16.92,29.97,3,17.07,24.58
1,9.27,25.96,2,9.61,27.27,3,14.12,44.10,4,26.20,50.79
1,9.42,35.38,2,9.73,37.00,3,15.91,1:00.01,4,15.39,1:06.18
1,9.72,45.093,0,,DQ,2,0.70,1:00.710,3,15.96,1:22.133
