Aliaksandr ANTANENKA POSITION,Aliaksandr ANTANENKA LAP TIME,Aliaksandr ANTANENKA ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Jonathan GARCIA POSITION,Jonathan GARCIA LAP TIME,Jonathan GARCIA ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME
4,9.48,9.48,1,9.31,9.31,5,9.71,9.71,3,9.35,9.35,6,9.86,9.86,2,9.34,9.34
4,12.65,22.13,2,12.62,21.93,5,12.55,22.26,1,12.46,21.81,6,12.59,22.45,3,12.71,22.05
4,11.60,33.73,2,11.55,33.48,5,11.57,33.83,1,11.56,33.37,6,11.53,33.98,3,11.57,33.62
5,11.24,44.97,2,11.28,44.76,4,11.11,44.94,1,11.28,44.65,6,11.10,45.08,3,11.24,44.86
6,10.14,55.11,3,10.03,54.79,2,9.76,54.70,1,10.05,54.70,4,9.80,54.88,5,10.13,54.99
6,9.52,1:04.63,3,9.53,1:04.32,1,9.35,1:04.05,2,9.55,1:04.25,4,9.53,1:04.41,5,9.54,1:04.53
6,9.70,1:14.33,3,9.65,1:13.97,1,9.76,1:13.81,2,9.65,1:13.90,4,9.67,1:14.08,5,9.64,1:14.17
6,9.82,1:24.15,1,9.70,1:23.67,3,9.97,1:23.78,2,9.79,1:23.69,4,9.75,1:23.83,5,9.78,1:23.95
6,9.73,1:33.88,1,9.75,1:33.42,3,9.78,1:33.56,2,9.74,1:33.43,4,9.78,1:33.61,5,9.81,1:33.76
6,9.59,1:43.47,2,9.55,1:42.97,4,9.61,1:43.17,1,9.45,1:42.88,3,9.45,1:43.06,5,9.57,1:43.33
6,9.51,1:52.98,2,9.48,1:52.45,4,9.51,1:52.68,1,9.46,1:52.34,3,9.50,1:52.56,5,9.51,1:52.84
6,10.09,2:03.07,2,9.46,2:01.91,4,9.49,2:02.17,1,9.55,2:01.89,3,9.49,2:02.05,5,9.58,2:02.42
6,10.69,2:13.76,2,9.71,2:11.62,4,9.64,2:11.81,1,9.56,2:11.45,3,9.65,2:11.70,5,9.99,2:12.41
6,10.78,2:24.537,3,9.58,2:21.199,4,9.44,2:21.249,1,9.49,2:20.931,2,9.41,2:21.108,5,10.12,2:22.530
