Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME
4,12.74,12.74,3,12.59,12.59,1,12.47,12.47,2,12.58,12.58
2,9.37,22.11,3,9.51,22.11,1,9.54,22.02,4,9.56,22.15
3,9.40,31.51,2,9.32,31.43,1,9.40,31.42,4,9.45,31.60
3,9.31,40.83,2,9.24,40.68,1,9.25,40.67,4,9.27,40.87
3,9.24,50.07,2,9.19,49.88,1,9.06,49.74,4,9.22,50.09
3,9.11,59.19,1,9.22,59.10,2,9.37,59.12,4,9.21,59.30
3,9.30,1:08.50,2,9.30,1:08.41,1,9.22,1:08.34,4,9.30,1:08.61
1,9.04,1:17.54,2,9.19,1:17.60,3,9.27,1:17.61,4,9.26,1:17.88
1,9.13,1:26.661,3,9.23,1:26.827,2,9.14,1:26.746,4,9.49,1:27.370
