Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME,Andre HARTWIG POSITION,Andre HARTWIG LAP TIME,Andre HARTWIG ELAPSED TIME,Yoshiharu ARINO POSITION,Yoshiharu ARINO LAP TIME,Yoshiharu ARINO ELAPSED TIME,Leon FLACK POSITION,Leon FLACK LAP TIME,Leon FLACK ELAPSED TIME,Yevgen YAKOVLEV POSITION,Yevgen YAKOVLEV LAP TIME,Yevgen YAKOVLEV ELAPSED TIME,MIN Ryoung POSITION,MIN Ryoung LAP TIME,MIN Ryoung ELAPSED TIME
1,8.384,8.384,2,8.634,8.634,3,8.746,8.746,6,9.214,9.214,5,8.981,8.981,4,8.860,8.860
2,12.534,20.917,3,12.470,21.104,1,12.078,20.823,6,12.272,21.486,5,12.425,21.405,4,12.340,21.199
2,11.698,32.615,5,11.655,32.758,3,11.884,32.706,4,11.222,32.707,6,11.530,32.934,1,11.312,32.511
3,10.862,43.476,1,10.256,43.014,5,10.912,43.618,4,10.773,43.480,6,10.745,43.679,2,10.743,43.253
3,10.449,53.925,2,10.871,53.885,5,10.502,54.120,4,10.498,53.978,6,10.741,54.419,1,10.599,53.852
2,10.290,1:04.214,3,10.341,1:04.225,5,10.327,1:04.446,4,10.323,1:04.300,6,10.301,1:04.720,1,10.124,1:03.975
2,10.120,1:14.333,4,10.277,1:14.502,3,10.013,1:14.459,5,10.223,1:14.523,6,9.980,1:14.700,1,10.247,1:14.221
1,9.543,1:23.876,5,9.725,1:24.226,3,9.673,1:24.131,4,9.695,1:24.217,6,9.721,1:24.421,2,9.731,1:23.951
3,10.222,1:34.098,5,10.077,1:34.302,2,9.929,1:34.060,4,10.074,1:34.291,6,10.068,1:34.489,1,9.875,1:33.826
3,9.569,1:43.666,4,9.404,1:43.706,2,9.499,1:43.558,5,9.696,1:43.987,6,9.753,1:44.241,1,9.724,1:43.549
3,9.590,1:53.255,4,9.665,1:53.370,1,9.509,1:53.067,5,9.610,1:53.596,6,9.660,1:53.901,2,9.593,1:53.142
3,9.619,2:02.873,4,9.551,2:02.921,2,9.728,2:02.794,5,9.841,2:03.436,6,9.715,2:03.615,1,9.596,2:02.737
3,9.678,2:12.551,4,9.697,2:12.618,2,9.667,2:12.461,5,9.625,2:13.061,6,10.008,2:13.623,1,9.684,2:12.421
3,10.05,2:22.598,4,10.08,2:22.698,1,9.97,2:22.426,5,10.01,2:23.069,6,10.88,2:24.494,2,10.02,2:22.440
