HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Rinat MAZHENOV POSITION,Rinat MAZHENOV LAP TIME,Rinat MAZHENOV ELAPSED TIME,Matteo COMPAGNONI POSITION,Matteo COMPAGNONI LAP TIME,Matteo COMPAGNONI ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME
2,13.97,13.97,1,13.84,13.84,3,14.08,14.08,4,14.09,14.09,5,14.23,14.23
2,10.13,24.10,1,10.17,24.01,4,10.19,24.27,3,10.10,24.19,5,10.05,24.28
3,10.16,34.26,2,10.17,34.18,5,10.20,34.47,1,9.97,34.16,4,10.09,34.37
3,9.66,43.92,2,9.61,43.79,5,9.71,44.18,1,9.59,43.75,4,9.67,44.04
3,9.42,53.34,1,9.38,53.17,5,9.39,53.57,2,9.50,53.25,4,9.40,53.44
3,9.34,1:02.68,1,9.33,1:02.50,5,9.54,1:03.11,2,9.39,1:02.64,4,9.41,1:02.85
1,8.84,1:11.52,2,9.34,1:11.84,5,9.91,1:13.02,3,9.35,1:11.99,4,9.28,1:12.13
1,9.03,1:20.55,2,9.43,1:21.27,5,10.70,1:23.72,3,9.39,1:21.38,4,9.41,1:21.54
1,9.54,1:30.088,2,9.85,1:31.114,5,11.13,1:34.841,4,9.76,1:31.132,3,9.58,1:31.118
