CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME,Jakov DOMITREK POSITION,Jakov DOMITREK LAP TIME,Jakov DOMITREK ELAPSED TIME,Inan EREN POSITION,Inan EREN LAP TIME,Inan EREN ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
3,8.82,8.82,4,8.92,8.92,1,8.58,8.58,5,9.03,9.03,6,9.20,9.20,2,8.70,8.70
3,11.70,20.52,4,11.72,20.64,1,11.71,20.29,5,11.71,20.74,6,11.62,20.82,2,11.71,20.41
3,11.06,31.58,4,11.06,31.70,1,11.09,31.38,5,11.07,31.81,6,11.14,31.96,2,11.08,31.49
3,10.90,42.48,4,10.86,42.56,1,10.86,42.24,5,10.87,42.68,6,10.83,42.79,2,10.88,42.37
3,10.54,53.02,4,10.54,53.10,1,10.46,52.70,5,10.56,53.24,6,10.60,53.39,2,10.49,52.86
3,10.05,1:03.07,4,10.03,1:03.13,1,10.08,1:02.78,5,10.00,1:03.24,6,9.98,1:03.37,2,10.07,1:02.93
3,9.78,1:12.85,4,9.85,1:12.98,1,9.86,1:12.64,5,9.87,1:13.11,6,9.92,1:13.29,2,9.81,1:12.74
3,9.78,1:22.63,4,9.78,1:22.76,1,9.81,1:22.45,5,9.77,1:22.88,6,9.72,1:23.01,2,9.79,1:22.53
3,9.65,1:32.28,4,9.69,1:32.45,1,9.68,1:32.13,5,9.71,1:32.59,6,9.76,1:32.77,2,9.69,1:32.22
3,9.62,1:41.90,4,9.68,1:42.13,1,9.61,1:41.74,5,9.77,1:42.36,6,10.04,1:42.81,2,9.56,1:41.78
3,9.52,1:51.42,4,9.58,1:51.71,1,9.53,1:51.27,5,9.77,1:52.13,6,10.40,1:53.21,2,9.54,1:51.32
2,9.19,2:00.61,4,9.81,2:01.52,3,9.55,2:00.82,5,10.23,2:02.36,6,10.77,2:03.98,1,9.23,2:00.55
2,9.29,2:09.90,4,10.10,2:11.62,3,9.78,2:10.60,5,10.56,2:12.92,6,11.09,2:15.07,1,9.25,2:09.80
2,9.37,2:19.263,4,10.31,2:21.929,3,10.02,2:20.611,5,10.92,2:23.835,6,11.34,2:26.402,1,9.26,2:19.054
