SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,NOH Do Hee POSITION,NOH Do Hee LAP TIME,NOH Do Hee ELAPSED TIME,Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME
1,11.31,11.31,2,11.59,11.59,4,11.95,11.95,3,11.73,11.73,6,12.42,,5,12.17,12.17
1,16.74,28.05,2,16.68,28.27,4,16.72,28.67,3,16.70,28.43,6,16.47,,5,16.65,28.82
1,15.33,43.38,2,15.32,43.59,4,15.29,43.96,3,15.29,43.72,6,15.31,,5,15.28,44.10
1,14.29,57.67,3,14.25,57.84,5,14.12,58.08,4,14.23,57.95,6,14.00,,2,13.58,57.68
3,11.49,1:09.16,1,11.18,1:09.02,6,11.45,1:09.53,5,11.42,1:09.37,3,10.96,,2,11.46,1:09.14
6,24.50,1:33.66,2,10.17,1:19.19,4,9.81,1:19.34,5,10.02,1:19.39,1,9.95,,3,10.15,1:19.29
6,12.63,1:46.29,3,10.98,1:30.17,2,10.82,1:30.16,5,11.02,1:30.41,1,10.96,,4,10.98,1:30.27
6,9.62,1:55.91,2,11.05,1:41.22,5,25.00,1:55.16,3,10.93,1:41.34,1,11.04,,4,18.18,1:48.45
5,9.47,2:05.38,2,11.47,1:52.69,6,13.98,2:09.14,3,11.46,1:52.80,1,11.48,,4,11.22,1:59.67
5,9.71,2:15.09,2,11.59,2:04.28,6,11.36,2:20.50,3,11.62,2:04.42,1,11.56,,4,11.11,2:10.78
5,9.73,2:24.82,1,10.32,2:14.60,6,10.25,2:30.75,3,10.58,2:15.00,2,10.72,,4,11.41,2:22.19
4,9.61,2:34.43,1,9.66,2:24.26,6,10.19,2:40.94,3,9.69,2:24.69,2,9.70,,5,13.46,2:35.65
4,9.74,2:44.17,1,9.57,2:33.83,6,10.63,2:51.57,3,9.62,2:34.31,2,9.56,,5,11.97,2:47.62
4,10.47,2:54.64,1,9.61,2:43.44,6,11.49,3:03.06,3,9.68,2:43.99,2,9.58,,5,12.19,2:59.81
