Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,Francesca JACKSON POSITION,Francesca JACKSON LAP TIME,Francesca JACKSON ELAPSED TIME,Kristina VUTEVA POSITION,Kristina VUTEVA LAP TIME,Kristina VUTEVA ELAPSED TIME,Allison BAVER POSITION,Allison BAVER LAP TIME,Allison BAVER ELAPSED TIME,Alix-Myra ANDERSON POSITION,Alix-Myra ANDERSON LAP TIME,Alix-Myra ANDERSON ELAPSED TIME
1,9.74,9.74,3,10.02,10.02,5,11.20,11.20,4,10.54,10.54,2,10.00,10.00
3,13.33,23.08,4,13.07,23.09,2,11.75,22.95,5,12.73,23.28,1,12.82,22.82
3,13.03,36.11,4,13.17,36.27,1,12.82,35.78,5,13.19,36.47,2,13.09,35.91
4,13.39,49.51,3,13.15,49.43,1,13.40,49.19,5,13.39,49.87,2,13.38,49.29
4,12.40,1:01.92,1,12.15,1:01.59,3,12.59,1:01.78,5,12.23,1:02.11,2,12.45,1:01.74
4,11.86,1:13.78,1,11.94,1:13.53,3,11.94,1:13.72,5,11.93,1:14.05,2,11.82,1:13.57
4,11.92,1:25.71,1,11.96,1:25.49,2,11.85,1:25.58,5,11.98,1:26.03,3,12.05,1:25.63
4,11.98,1:37.70,2,12.00,1:37.50,1,11.91,1:37.49,5,11.93,1:37.97,3,11.94,1:37.58
4,11.45,1:49.16,1,11.44,1:48.94,3,11.60,1:49.09,5,11.31,1:49.28,2,11.43,1:49.01
2,10.65,1:59.81,5,11.09,2:00.04,1,10.54,1:59.64,4,10.67,1:59.96,3,10.92,1:59.93
1,9.50,2:09.32,5,10.63,2:10.68,3,10.09,2:09.73,2,9.74,2:09.70,4,9.97,2:09.91
1,9.84,2:19.16,5,10.97,2:21.66,4,10.21,2:19.95,2,9.58,2:19.28,3,9.62,2:19.53
2,10.14,2:29.31,5,11.16,2:32.82,4,10.79,2:30.74,1,9.98,2:29.27,3,9.98,2:29.52
2,10.30,2:39.606,5,11.80,2:44.616,4,11.25,2:41.984,1,10.19,2:39.456,3,10.10,2:39.615
