CHINA POSITION,CHINA LAP TIME,CHINA ELAPSED TIME,KOREA POSITION,KOREA LAP TIME,KOREA ELAPSED TIME,RUSSIA POSITION,RUSSIA LAP TIME,RUSSIA ELAPSED TIME,POLAND POSITION,POLAND LAP TIME,POLAND ELAPSED TIME
2,12.51,12.51,3,12.63,12.63,1,12.44,,4,12.76,12.76
2,9.38,21.89,3,9.36,21.99,1,9.37,,4,9.36,22.12
2,9.37,31.26,4,9.46,31.45,1,9.25,,3,9.17,31.29
2,9.18,40.44,4,9.34,40.79,1,9.29,,3,9.34,40.63
1,9.35,49.79,4,9.17,49.96,2,9.47,,3,9.29,49.92
1,8.86,58.65,4,9.07,59.03,3,9.16,,2,8.85,58.77
1,8.40,1:07.05,4,8.58,1:07.61,3,8.52,,2,8.44,1:07.21
1,8.47,1:15.52,4,8.40,1:16.01,3,8.33,,2,8.60,1:15.81
1,8.38,1:23.90,4,8.38,1:24.39,2,8.29,,3,8.46,1:24.27
1,8.43,1:32.33,4,8.34,1:32.73,2,8.34,,3,8.44,1:32.71
1,8.70,1:41.03,3,8.72,1:41.45,2,8.63,,4,8.91,1:41.62
1,8.91,1:49.94,3,8.70,1:50.15,2,8.94,,4,8.82,1:50.44
1,9.02,1:58.96,2,8.95,1:59.10,3,9.25,,4,9.01,1:59.45
1,9.33,2:08.29,2,9.26,2:08.36,3,9.41,,4,9.26,2:08.71
2,8.86,2:17.15,1,8.78,2:17.14,3,8.87,,4,9.07,2:17.78
2,8.65,2:25.80,1,8.57,2:25.71,3,8.44,,4,8.79,2:26.57
2,8.48,2:34.28,1,8.48,2:34.19,3,8.38,,4,8.48,2:35.05
2,9.17,2:43.45,1,8.66,2:42.85,4,19.13,,3,8.44,2:43.49
