Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME
3,15.32,15.32,2,15.19,15.19,1,15.07,15.07,4,15.49,15.49
3,11.83,27.15,2,11.83,27.02,1,11.84,26.91,4,11.85,27.34
3,11.14,38.29,2,11.17,38.19,1,11.17,38.08,4,11.15,38.49
3,10.79,49.08,2,10.74,48.93,1,10.76,48.84,4,10.72,49.21
4,9.70,58.78,3,9.70,58.63,2,9.68,58.52,1,9.29,58.50
4,9.01,1:07.79,3,9.04,1:07.67,2,9.05,1:07.57,1,8.95,1:07.45
4,9.00,1:16.79,3,8.95,1:16.62,2,9.04,1:16.61,1,9.05,1:16.50
4,9.75,1:26.54,2,9.57,1:26.19,3,9.69,1:26.30,1,9.54,1:26.04
4,9.02,1:35.555,3,9.04,1:35.229,2,8.92,1:35.218,1,9.02,1:35.053
