Karol BOBOWICZ POSITION,Karol BOBOWICZ LAP TIME,Karol BOBOWICZ ELAPSED TIME,Wim de DEYNE POSITION,Wim de DEYNE LAP TIME,Wim de DEYNE ELAPSED TIME,Rusty SMITH POSITION,Rusty SMITH LAP TIME,Rusty SMITH ELAPSED TIME,Nikolay STANCHEV POSITION,Nikolay STANCHEV LAP TIME,Nikolay STANCHEV ELAPSED TIME,Andrey SMETANIN POSITION,Andrey SMETANIN LAP TIME,Andrey SMETANIN ELAPSED TIME
4,13.962,13.962,2,13.816,13.816,3,13.836,13.836,5,14.065,14.065,1,13.365,13.365
4,10.079,24.040,3,10.023,23.839,2,9.996,23.831,5,10.040,24.105,1,10.312,23.677
3,10.155,34.194,4,10.368,34.207,2,10.316,34.146,5,10.235,34.339,1,10.096,33.773
4,10.440,44.633,2,10.106,44.313,3,10.209,44.354,5,10.369,44.708,1,10.447,44.219
4,10.115,54.748,1,10.239,54.551,2,10.286,54.640,3,10.033,54.740,5,10.856,55.075
4,9.874,1:04.622,1,9.915,1:04.466,3,9.938,1:04.577,2,9.777,1:04.516,5,10.058,1:05.133
3,9.181,1:13.802,1,9.108,1:13.573,2,9.169,1:13.745,4,9.602,1:14.118,5,10.183,1:15.315
3,9.509,1:23.311,1,9.419,1:22.992,2,9.304,1:23.049,4,9.381,1:23.499,5,10.731,1:26.045
3,9.46,1:32.769,2,9.58,1:32.565,1,9.36,1:32.407,4,10.42,1:33.919,5,11.02,1:37.056
