Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,Sanne van KERKHOF POSITION,Sanne van KERKHOF LAP TIME,Sanne van KERKHOF ELAPSED TIME,Josephine MESCHNIK POSITION,Josephine MESCHNIK LAP TIME,Josephine MESCHNIK ELAPSED TIME
1,7.17,7.17,2,7.45,7.45,3,7.62,7.62
1,9.38,16.55,2,9.60,17.05,3,9.51,17.13
1,9.03,25.58,3,9.36,26.41,2,9.09,26.22
1,9.26,34.84,3,9.48,35.89,2,9.52,35.74
1,9.34,44.176,3,9.43,45.320,2,9.54,45.272
