Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME,Stephanie BOUVIER POSITION,Stephanie BOUVIER LAP TIME,Stephanie BOUVIER ELAPSED TIME,Alix-Myra ANDERSON POSITION,Alix-Myra ANDERSON LAP TIME,Alix-Myra ANDERSON ELAPSED TIME,Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME,Dariya VOLOKITINA POSITION,Dariya VOLOKITINA LAP TIME,Dariya VOLOKITINA ELAPSED TIME,Olena KORINCHUK POSITION,Olena KORINCHUK LAP TIME,Olena KORINCHUK ELAPSED TIME
4,9.00,9.00,3,8.94,8.94,6,9.32,9.32,2,8.92,8.92,5,9.25,9.25,1,8.73,8.73
4,12.29,21.29,2,12.13,21.07,6,12.20,21.52,3,12.17,21.09,5,12.24,21.49,1,12.26,20.99
4,10.85,32.14,1,10.80,31.87,5,10.64,32.16,3,10.86,31.95,6,10.90,32.39,2,10.91,31.90
4,10.37,42.51,2,10.43,42.30,5,10.35,42.51,3,10.36,42.31,6,10.34,42.73,1,10.35,42.25
4,10.76,53.27,2,10.65,52.95,5,10.81,53.32,3,10.79,53.10,6,10.93,53.66,1,10.70,52.95
4,10.74,1:04.01,2,10.83,1:03.78,5,10.79,1:04.11,3,10.74,1:03.84,6,10.68,1:04.34,1,10.83,1:03.78
5,10.88,1:14.89,3,10.84,1:14.62,4,10.68,1:14.79,2,10.77,1:14.61,6,10.83,1:15.17,1,10.76,1:14.54
5,10.66,1:25.55,3,10.70,1:25.32,4,10.61,1:25.40,2,10.69,1:25.30,6,10.59,1:25.76,1,10.71,1:25.25
5,10.67,1:36.22,1,10.32,1:35.64,4,10.79,1:36.19,2,10.72,1:36.02,6,10.78,1:36.54,3,10.89,1:36.14
3,10.33,1:46.55,1,10.59,1:46.23,4,10.53,1:46.72,2,10.27,1:46.29,5,10.51,1:47.05,6,10.99,1:47.13
1,9.79,1:56.34,2,10.35,1:56.58,4,10.59,1:57.31,3,10.31,1:56.60,5,10.36,1:57.41,6,11.40,1:58.53
1,10.19,2:06.53,3,10.19,2:06.77,4,10.67,2:07.98,2,10.08,2:06.68,5,10.70,2:08.11,6,11.84,2:10.37
1,10.14,2:16.67,2,10.17,2:16.94,4,10.97,2:18.95,3,10.32,2:17.00,5,10.89,2:19.00,6,12.22,2:22.59
1,10.62,2:27.289,2,10.48,2:27.420,4,11.14,2:30.083,3,10.64,2:27.640,5,11.12,2:30.115,6,12.15,2:34.733
