Selma POUTSMA POSITION,Selma POUTSMA LAP TIME,Selma POUTSMA ELAPSED TIME,MASCITTO Cynthia POSITION,MASCITTO Cynthia LAP TIME,MASCITTO Cynthia ELAPSED TIME,Patrycja MARKIEWICZ POSITION,Patrycja MARKIEWICZ LAP TIME,Patrycja MARKIEWICZ ELAPSED TIME,Iong A KIM POSITION,Iong A KIM LAP TIME,Iong A KIM ELAPSED TIME,Samantha MORRISON POSITION,Samantha MORRISON LAP TIME,Samantha MORRISON ELAPSED TIME,Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME
5,14.63,14.63,3,14.40,14.40,4,14.42,14.42,1,14.18,14.18,6,14.80,14.80,2,14.30,14.30
5,10.63,25.26,3,10.62,25.02,4,10.71,25.13,2,10.74,24.92,6,10.57,25.37,1,10.51,24.81
5,10.87,36.13,3,10.88,35.90,4,10.79,35.92,2,10.90,35.82,6,10.82,36.19,1,10.90,35.71
5,10.45,46.58,3,10.51,46.41,4,10.58,46.50,2,10.50,46.32,6,10.51,46.70,1,10.52,46.23
5,10.34,56.92,3,10.39,56.80,4,10.39,56.89,2,10.41,56.73,6,10.35,57.05,1,10.41,56.64
4,9.54,1:06.46,3,9.65,1:06.45,5,9.75,1:06.64,2,9.65,1:06.38,6,9.62,1:06.67,1,9.65,1:06.29
4,9.49,1:15.95,3,9.28,1:15.73,6,9.58,1:16.22,2,9.26,1:15.64,5,9.42,1:16.09,1,9.24,1:15.53
4,9.16,1:25.11,3,9.21,1:24.94,6,9.49,1:25.71,2,9.23,1:24.87,5,9.50,1:25.59,1,9.26,1:24.79
4,9.29,1:34.403,3,,1:34.259,6,9.72,1:35.436,1,9.29,1:34.166,5,9.79,1:35.385,2,,1:34.255
