MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,DESMET Hanne POSITION,DESMET Hanne LAP TIME,DESMET Hanne ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME
2,13.09,13.09,4,13.33,13.33,3,13.21,13.21,1,13.00,13.00,5,13.40,13.40,6,13.55,13.55
3,10.08,23.17,5,10.05,23.38,1,9.86,23.07,2,10.11,23.11,4,9.87,23.27,6,9.94,23.49
3,9.67,32.84,5,9.66,33.04,1,9.63,32.70,2,9.67,32.78,4,9.68,32.95,6,9.65,33.14
3,9.97,42.81,4,9.90,42.94,1,9.98,42.68,2,9.99,42.77,5,10.02,42.97,6,9.89,43.03
3,9.84,52.65,4,9.84,52.78,1,9.76,52.44,2,9.78,52.55,6,9.94,52.91,5,9.80,52.83
3,9.80,1:02.45,4,9.76,1:02.54,1,9.78,1:02.22,2,9.77,1:02.32,6,9.84,1:02.75,5,9.81,1:02.64
3,9.86,1:12.31,4,9.83,1:12.37,1,9.68,1:11.90,2,9.68,1:12.00,6,9.85,1:12.60,5,9.83,1:12.47
5,10.15,1:22.46,4,9.98,1:22.35,1,9.77,1:21.67,2,9.77,1:21.77,6,9.89,1:22.49,3,9.72,1:22.19
6,10.49,1:32.931,4,9.74,1:32.075,1,10.04,1:31.702,2,,1:31.758,5,9.64,1:32.121,3,,1:31.770
