Hironobu MURATAKE POSITION,Hironobu MURATAKE LAP TIME,Hironobu MURATAKE ELAPSED TIME,Soo An YOO POSITION,Soo An YOO LAP TIME,Soo An YOO ELAPSED TIME,KAUFMANN-LUDWIG Leon POSITION,KAUFMANN-LUDWIG Leon LAP TIME,KAUFMANN-LUDWIG Leon ELAPSED TIME
1,6.98,6.98,3,7.22,7.22,2,7.10,7.10
1,9.24,16.22,3,9.17,16.39,2,9.26,16.36
1,8.64,24.86,3,8.91,25.30,2,8.64,25.00
1,8.85,33.71,3,8.76,34.06,2,8.74,33.74
2,9.27,42.971,3,8.93,42.982,1,9.14,42.878
