Andrey SMETANIN POSITION,Andrey SMETANIN LAP TIME,Andrey SMETANIN ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Assen PANDOV POSITION,Assen PANDOV LAP TIME,Assen PANDOV ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,Matthias STELZMUELLER POSITION,Matthias STELZMUELLER LAP TIME,Matthias STELZMUELLER ELAPSED TIME
3,13.66,13.66,1,13.53,13.53,2,13.62,13.62,4,13.69,13.69,0,,
4,10.51,24.17,2,10.51,24.05,5,10.67,24.30,1,10.03,23.72,3,0.00,24.06
4,10.62,34.79,2,10.60,34.66,3,10.47,34.77,1,10.67,34.40,5,10.83,34.90
3,10.62,45.42,2,10.61,45.27,5,10.93,45.71,1,10.65,45.06,4,10.63,45.53
5,10.20,55.63,3,10.17,55.45,2,9.69,55.40,1,10.18,55.24,4,9.98,55.51
5,18.38,1:14.01,2,9.57,1:05.03,3,9.92,1:05.33,1,9.28,1:04.52,4,9.89,1:05.40
5,17.16,1:31.18,2,8.79,1:13.82,3,9.89,1:15.22,1,8.89,1:13.42,4,9.89,1:15.30
5,12.18,1:43.37,2,8.93,1:22.76,3,9.74,1:24.97,1,9.22,1:22.65,4,9.87,1:25.18
0,,DQ,1,9.27,1:32.026,3,10.49,1:35.457,2,9.46,1:32.106,4,10.57,1:35.748
