GREAT BRITAIN POSITION,GREAT BRITAIN LAP TIME,GREAT BRITAIN ELAPSED TIME,RUSSIA POSITION,RUSSIA LAP TIME,RUSSIA ELAPSED TIME,FRANCE POSITION,FRANCE LAP TIME,FRANCE ELAPSED TIME
1,11.842,11.842,2,12.133,12.133,3,12.237,12.237
1,9.047,20.888,2,9.021,21.153,3,9.028,21.264
1,9.157,30.045,2,9.078,30.230,3,9.370,30.633
1,9.423,39.468,2,9.417,39.647,3,9.127,39.760
3,9.794,49.262,1,9.419,49.065,2,9.494,49.253
3,9.412,58.673,1,9.309,58.373,2,9.320,58.573
3,9.236,1:07.908,2,9.200,1:07.573,1,8.993,1:07.565
3,9.106,1:17.014,1,9.304,1:16.876,2,9.334,1:16.899
3,9.298,1:26.312,2,9.432,1:26.308,1,9.285,1:26.183
2,9.488,1:35.800,1,9.428,1:35.735,3,9.677,1:35.860
3,9.491,1:45.291,1,9.399,1:45.134,2,9.297,1:45.156
2,9.336,1:54.626,1,9.270,1:54.403,3,9.658,1:54.814
3,9.277,2:03.902,1,9.352,2:03.754,2,9.009,2:03.822
3,9.083,2:12.984,2,9.085,2:12.839,1,8.984,2:12.806
3,9.115,2:22.099,1,8.968,2:21.806,2,9.184,2:21.989
3,9.120,2:31.219,2,9.129,2:30.934,1,8.910,2:30.899
3,9.212,2:40.431,2,9.418,2:40.351,1,9.235,2:40.134
3,9.311,2:49.742,2,9.328,2:49.678,1,9.405,2:49.539
1,9.556,2:59.298,2,9.646,2:59.324,3,9.934,2:59.472
3,9.856,3:09.153,1,9.551,3:08.874,2,9.622,3:09.093
2,9.247,3:18.399,1,9.342,3:18.216,3,9.398,3:18.490
3,9.328,3:27.727,1,9.303,3:27.519,2,9.096,3:27.586
3,9.566,3:37.292,1,9.636,3:37.155,2,9.615,3:37.201
3,9.340,3:46.632,1,9.197,3:46.351,2,9.361,3:46.561
2,9.001,3:55.633,1,9.153,3:55.503,3,9.129,3:55.690
3,9.314,4:04.946,1,9.224,4:04.727,2,9.201,4:04.890
3,8.954,4:13.900,1,9.112,4:13.839,2,8.985,4:13.875
3,9.459,4:23.358,2,9.458,4:23.296,1,9.363,4:23.238
3,9.451,4:32.808,1,9.210,4:32.506,2,9.356,4:32.594
3,9.265,4:42.073,1,9.061,4:41.566,2,9.055,4:41.649
3,9.133,4:51.206,2,9.242,4:50.807,1,9.142,4:50.790
3,8.996,5:00.202,2,9.331,5:00.138,1,9.127,4:59.916
3,9.229,5:09.430,2,9.245,5:09.382,1,9.357,5:09.273
1,9.210,5:18.640,2,9.315,5:18.697,3,9.446,5:18.719
3,9.451,5:28.091,2,9.323,5:28.020,1,9.108,5:27.827
3,9.395,5:37.485,1,9.013,5:37.032,2,9.599,5:37.425
3,9.183,5:46.668,1,9.426,5:46.458,2,9.156,5:46.580
3,9.220,5:55.888,1,9.269,5:55.727,2,9.174,5:55.754
3,9.352,6:05.239,1,9.289,6:05.015,2,9.444,6:05.197
3,9.281,6:14.520,1,9.236,6:14.251,2,9.109,6:14.305
3,9.393,6:23.913,1,9.404,6:23.654,2,9.355,6:23.660
2,9.326,6:33.239,1,9.187,6:32.841,3,9.599,6:33.258
2,9.206,6:42.444,3,9.710,6:42.551,1,9.174,6:42.431
2,9.558,6:52.002,3,17.866,7:00.417,1,8.973,6:51.404
2,10.50,7:02.499,3,12.11,7:12.522,1,9.85,7:01.253
