Gabor GALAMBOS POSITION,Gabor GALAMBOS LAP TIME,Gabor GALAMBOS ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME
1,11.81,11.81,2,12.14,12.14,4,12.28,12.28,3,12.19,12.19
1,9.54,21.35,4,9.66,21.80,3,9.39,21.67,2,9.32,21.51
1,9.58,30.93,4,9.57,31.37,3,9.45,31.12,2,9.53,31.04
1,9.09,40.02,4,9.11,40.48,3,9.13,40.25,2,9.19,40.23
1,9.06,49.08,4,9.23,49.71,2,9.09,49.34,3,9.40,49.63
1,9.18,58.26,3,8.95,58.66,2,9.19,58.53,4,9.08,58.71
1,9.72,1:07.98,2,9.44,1:08.10,4,9.86,1:08.39,3,9.58,1:08.29
1,9.33,1:17.31,2,9.49,1:17.59,4,9.59,1:17.98,3,9.32,1:17.61
3,10.50,1:27.805,0,,DQ,2,9.54,1:27.520,1,9.73,1:27.335
