Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,Koen HAKKENBERG POSITION,Koen HAKKENBERG LAP TIME,Koen HAKKENBERG ELAPSED TIME,Menderes EREN POSITION,Menderes EREN LAP TIME,Menderes EREN ELAPSED TIME,Nathaniel HENRY POSITION,Nathaniel HENRY LAP TIME,Nathaniel HENRY ELAPSED TIME
1,12.95,12.95,2,13.02,13.02,4,13.37,13.37,3,13.18,13.18
1,9.92,22.87,2,9.91,22.93,4,9.74,23.11,3,9.83,23.01
2,9.64,32.51,1,9.45,32.38,4,9.61,32.72,3,9.60,32.61
2,9.16,41.67,1,9.21,41.59,4,9.19,41.91,3,9.06,41.67
2,9.21,50.88,1,9.06,50.65,4,9.27,51.18,3,9.32,50.99
2,8.92,59.80,1,9.08,59.73,4,9.26,1:00.44,3,8.94,59.93
1,9.04,1:08.84,3,9.22,1:08.95,4,9.35,1:09.79,2,9.01,1:08.94
1,9.26,1:18.10,3,9.43,1:18.38,4,9.61,1:19.40,2,9.24,1:18.18
1,9.59,1:27.687,3,9.69,1:28.067,4,9.91,1:29.306,2,9.58,1:27.753
