KIM Joon Chun POSITION,KIM Joon Chun LAP TIME,KIM Joon Chun ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Thomas Insuk HONG POSITION,Thomas Insuk HONG LAP TIME,Thomas Insuk HONG ELAPSED TIME,SUI Xin POSITION,SUI Xin LAP TIME,SUI Xin ELAPSED TIME,FERCOQ Quentin POSITION,FERCOQ Quentin LAP TIME,FERCOQ Quentin ELAPSED TIME,YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME
2,9.10,9.10,3,9.27,9.27,1,8.94,8.94,4,9.42,9.42,5,9.55,9.55,6,9.78,
2,12.34,21.44,3,12.33,21.60,1,12.38,21.32,4,12.28,21.70,5,12.24,21.79,6,12.18,
2,11.63,33.07,3,11.59,33.19,1,11.63,32.95,5,11.59,33.29,6,11.66,33.45,4,11.30,
2,10.62,43.69,4,10.69,43.88,3,10.85,43.80,5,10.73,44.02,6,10.68,44.13,1,10.37,
1,10.13,53.82,5,10.27,54.15,3,10.23,54.03,4,10.05,54.07,6,10.21,54.34,2,10.32,
2,9.78,1:03.60,5,9.84,1:03.99,4,9.84,1:03.87,1,9.34,1:03.41,6,9.72,1:04.06,3,9.80,
1,9.57,1:13.17,6,9.62,1:13.61,5,9.63,1:13.50,2,9.92,1:13.33,4,9.39,1:13.45,3,9.63,
1,9.63,1:22.80,5,9.57,1:23.18,3,9.50,1:23.00,2,9.55,1:22.88,6,9.83,1:23.28,4,9.64,
1,9.74,1:32.54,5,9.80,1:32.98,2,9.60,1:32.60,3,9.76,1:32.64,6,9.79,1:33.07,4,9.84,
1,9.74,1:42.28,4,9.70,1:42.68,2,9.77,1:42.37,4,10.04,1:42.68,6,9.78,1:42.85,3,9.64,
2,9.75,1:52.03,4,9.58,1:52.26,1,9.63,1:52.00,6,9.97,1:52.65,5,9.60,1:52.45,3,9.72,
4,9.74,2:01.77,2,9.17,2:01.43,1,9.34,2:01.34,6,10.13,2:02.78,5,9.41,2:01.86,3,9.36,
5,9.84,2:11.61,2,9.36,2:10.79,1,9.37,2:10.71,6,10.92,2:13.70,4,9.57,2:11.43,3,9.33,
5,10.22,2:21.83,2,9.89,2:20.68,1,9.64,2:20.35,6,11.84,2:25.54,4,9.87,2:21.30,3,9.87,
