TREACY Ethan POSITION,TREACY Ethan LAP TIME,TREACY Ethan ELAPSED TIME,VOLCKAERT Robbe POSITION,VOLCKAERT Robbe LAP TIME,VOLCKAERT Robbe ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,Aleksandr ZHERMANOV POSITION,Aleksandr ZHERMANOV LAP TIME,Aleksandr ZHERMANOV ELAPSED TIME,de CLEMENTE Clayton POSITION,de CLEMENTE Clayton LAP TIME,de CLEMENTE Clayton ELAPSED TIME,Robin BENDIG POSITION,Robin BENDIG LAP TIME,Robin BENDIG ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME
2,8.59,8.59,6,8.90,8.90,3,8.72,8.72,1,8.40,,4,8.78,8.78,5,8.83,8.83,7,9.11,9.11
2,11.39,19.98,6,11.55,20.45,3,11.42,20.14,1,11.45,,5,11.57,20.35,4,11.40,20.23,7,11.46,20.57
2,10.63,30.61,6,10.63,31.08,3,10.61,30.75,1,10.59,,5,10.63,30.98,4,10.63,30.86,7,10.63,31.20
2,10.27,40.88,6,10.16,41.24,4,10.25,41.00,1,10.33,,5,10.15,41.13,3,10.12,40.98,7,10.14,41.34
1,9.87,50.75,7,10.05,51.29,4,10.02,51.02,2,10.08,,6,9.98,51.11,3,9.89,50.87,5,9.72,51.06
1,9.65,1:00.40,7,9.55,1:00.84,2,9.50,1:00.52,3,9.68,,6,9.58,1:00.69,5,9.74,1:00.61,4,9.53,1:00.59
1,9.70,1:10.10,7,9.92,1:10.76,3,9.78,1:10.30,2,9.62,,5,9.85,1:10.54,6,9.95,1:10.56,4,9.86,1:10.45
3,9.80,1:19.90,7,9.62,1:20.38,1,9.46,1:19.76,2,9.65,,6,9.68,1:20.22,5,9.51,1:20.07,4,9.52,1:19.97
3,9.38,1:29.28,7,9.35,1:29.73,1,9.23,1:28.99,5,9.73,,6,9.32,1:29.54,4,9.38,1:29.45,2,9.12,1:29.09
3,9.19,1:38.47,6,9.50,1:39.23,1,9.24,1:38.23,7,10.00,,4,9.25,1:38.79,5,9.49,1:38.94,2,9.25,1:38.34
3,9.44,1:47.91,6,9.85,1:49.08,1,9.16,1:47.39,7,10.26,,4,9.46,1:48.25,5,9.46,1:48.40,2,9.19,1:47.53
4,9.87,1:57.78,6,10.27,1:59.35,1,9.02,1:56.41,7,10.54,,3,9.48,1:57.73,5,9.70,1:58.10,2,9.11,1:56.64
4,10.35,2:08.13,6,10.86,2:10.21,1,9.28,2:05.69,7,11.07,,3,9.75,2:07.48,5,10.04,2:08.14,2,9.57,2:06.21
5,11.29,2:19.421,6,11.34,2:21.558,1,9.65,2:15.344,7,11.17,,3,9.95,2:17.433,4,10.47,2:18.619,2,10.48,2:16.698
