FRANCE POSITION,FRANCE LAP TIME,FRANCE ELAPSED TIME,JAPAN POSITION,JAPAN LAP TIME,JAPAN ELAPSED TIME,KOREA POSITION,KOREA LAP TIME,KOREA ELAPSED TIME
3,12.62,12.62,1,12.39,12.39,2,12.45,12.45
3,9.35,21.97,1,9.37,21.76,2,9.40,21.85
3,9.39,31.36,1,9.42,31.18,2,9.42,31.27
3,9.22,40.58,1,9.14,40.32,2,9.17,40.44
3,9.35,49.93,1,9.12,49.44,2,9.11,49.55
3,9.20,59.13,1,9.16,58.60,2,9.15,58.70
3,8.91,1:08.04,2,9.16,1:07.76,1,9.05,1:07.75
3,9.04,1:17.08,2,9.16,1:16.92,1,9.03,1:16.78
3,8.95,1:26.03,2,8.98,1:25.90,1,9.01,1:25.79
3,9.03,1:35.06,2,9.08,1:34.98,1,9.10,1:34.89
3,9.35,1:44.41,2,9.14,1:44.12,1,9.11,1:44.00
3,9.19,1:53.60,2,9.11,1:53.23,1,9.03,1:53.03
3,8.87,2:02.47,2,8.91,2:02.14,1,8.75,2:01.78
3,8.90,2:11.37,2,9.14,2:11.28,1,8.77,2:10.55
3,9.12,2:20.49,2,9.11,2:20.39,1,8.93,2:19.48
3,9.12,2:29.61,2,9.16,2:29.55,1,9.20,2:28.68
3,9.47,2:39.08,2,9.20,2:38.75,1,9.15,2:37.83
3,9.33,2:48.41,2,9.20,2:47.95,1,9.06,2:46.89
3,8.94,2:57.35,2,9.21,2:57.16,1,8.73,2:55.62
3,9.05,3:06.40,2,9.14,3:06.30,1,8.75,3:04.37
3,9.36,3:15.76,2,9.38,3:15.68,1,9.04,3:13.41
2,9.50,3:25.26,3,9.59,3:25.27,1,9.52,3:22.93
2,9.47,3:34.73,3,9.47,3:34.74,1,9.21,3:32.14
3,9.87,3:44.60,2,9.83,3:44.57,1,9.15,3:41.29
2,9.37,3:53.97,3,9.66,3:54.23,1,8.87,3:50.16
2,8.96,4:02.93,3,9.26,4:03.49,1,8.94,3:59.10
2,9.10,4:12.03,3,9.31,4:12.802,1,8.95,4:08.05
