Azamat SULTANALIYEV POSITION,Azamat SULTANALIYEV LAP TIME,Azamat SULTANALIYEV ELAPSED TIME,Mykyta SOKOLOV POSITION,Mykyta SOKOLOV LAP TIME,Mykyta SOKOLOV ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
1,7.17,7.17,3,7.51,7.51,2,7.26,7.26
1,9.68,16.85,3,9.66,17.17,2,9.61,16.87
2,9.19,26.04,3,9.16,26.33,1,8.73,25.60
2,9.17,35.21,3,9.24,35.57,1,8.78,34.38
2,9.48,44.685,3,9.33,44.892,1,8.96,43.334
