Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME,Elliott SHRIANE POSITION,Elliott SHRIANE LAP TIME,Elliott SHRIANE ELAPSED TIME
3,6.97,6.97,1,6.83,6.83,2,6.92,6.92,4,7.12,7.12
4,22.79,29.77,1,8.72,15.55,2,8.97,15.90,3,9.02,16.15
4,18.74,48.51,1,8.69,24.24,2,8.62,24.52,3,8.58,24.73
4,12.87,1:01.39,1,8.55,32.80,2,8.69,33.22,3,8.65,33.39
4,12.46,1:13.845,1,8.92,41.715,2,8.94,42.156,3,8.91,42.294
