KIM Gun Woo POSITION,KIM Gun Woo LAP TIME,KIM Gun Woo ELAPSED TIME,HONG Kyung Hwan POSITION,HONG Kyung Hwan LAP TIME,HONG Kyung Hwan ELAPSED TIME,LI Wenlong POSITION,LI Wenlong LAP TIME,LI Wenlong ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME
2,12.76,12.76,3,12.93,12.93,5,13.04,13.04,4,13.00,13.00,1,12.58,12.58
3,9.38,22.14,4,9.33,22.26,5,9.30,22.34,1,8.94,21.94,2,9.41,21.99
3,8.92,31.06,4,8.89,31.15,5,8.91,31.25,1,8.87,30.81,2,8.93,30.92
3,8.93,39.99,4,8.93,40.08,5,8.91,40.16,1,8.94,39.75,2,8.92,39.84
3,8.78,48.77,4,8.76,48.84,5,8.78,48.94,2,8.94,48.69,1,8.74,48.58
2,8.74,57.51,3,8.68,57.52,5,8.72,57.66,4,8.84,57.53,1,8.85,57.43
2,8.67,1:06.18,1,8.55,1:06.07,5,8.83,1:06.49,4,8.92,1:06.45,3,8.88,1:06.31
2,8.68,1:14.86,1,8.70,1:14.77,4,8.75,1:15.24,5,9.07,1:15.52,3,8.81,1:15.12
2,8.93,1:23.79,1,8.92,1:23.69,4,8.98,1:24.223,5,9.42,1:24.949,0,9.08,1:24.20
