SONG Jia Hua POSITION,SONG Jia Hua LAP TIME,SONG Jia Hua ELAPSED TIME,BALBEKOV Vladimir POSITION,BALBEKOV Vladimir LAP TIME,BALBEKOV Vladimir ELAPSED TIME,MIGDALEOV Mikita POSITION,MIGDALEOV Mikita LAP TIME,MIGDALEOV Mikita ELAPSED TIME,Aleksandr ZHERMANOV POSITION,Aleksandr ZHERMANOV LAP TIME,Aleksandr ZHERMANOV ELAPSED TIME,Julian MACARAEG POSITION,Julian MACARAEG LAP TIME,Julian MACARAEG ELAPSED TIME,HAYASHI Ibuki POSITION,HAYASHI Ibuki LAP TIME,HAYASHI Ibuki ELAPSED TIME
2,9.19,9.19,4,9.46,9.46,1,9.02,9.02,6,9.59,9.59,3,9.31,9.31,5,9.49,9.49
3,12.43,21.62,4,12.29,21.75,1,12.51,21.53,5,12.22,21.81,6,12.54,21.85,2,12.05,21.54
4,11.00,32.62,1,10.58,32.33,3,11.01,32.54,6,11.09,32.90,5,10.96,32.81,2,10.91,32.45
5,10.95,43.57,2,10.84,43.17,4,10.93,43.47,1,10.17,43.07,6,10.86,43.67,3,10.88,43.33
5,9.97,53.54,2,10.11,53.28,4,9.99,53.46,1,10.12,53.19,6,10.01,53.68,3,10.02,53.35
4,9.66,1:03.20,1,9.76,1:03.04,5,9.87,1:03.33,2,9.97,1:03.16,6,9.82,1:03.50,2,9.81,1:03.16
4,9.75,1:12.95,1,9.62,1:12.66,6,9.85,1:13.18,3,9.71,1:12.87,5,9.56,1:13.06,2,9.58,1:12.74
4,9.76,1:22.71,1,9.72,1:22.38,6,9.88,1:23.06,3,9.76,1:22.63,5,9.79,1:22.85,2,9.74,1:22.48
4,9.51,1:32.22,1,9.40,1:31.78,6,9.52,1:32.58,3,9.53,1:32.16,5,9.64,1:32.49,2,9.38,1:31.86
3,9.20,1:41.42,1,9.45,1:41.23,5,9.46,1:42.04,4,9.68,1:41.84,6,9.77,1:42.26,2,9.45,1:41.31
3,9.28,1:50.70,2,9.37,1:50.60,4,9.50,1:51.54,5,9.91,1:51.75,6,9.83,1:52.09,1,9.18,1:50.49
3,9.04,1:59.74,2,9.01,1:59.61,4,9.69,2:01.23,5,10.14,2:01.89,6,10.28,2:02.37,1,8.92,1:59.41
3,9.02,2:08.76,2,9.09,2:08.70,4,10.02,2:11.25,5,10.74,2:12.63,6,10.64,2:13.01,1,9.02,2:08.43
3,9.19,2:17.95,2,9.22,2:17.92,4,10.19,2:21.44,6,10.71,2:23.34,5,10.31,2:23.32,1,9.25,2:17.68
