WANG Xue POSITION,WANG Xue LAP TIME,WANG Xue ELAPSED TIME,Anita NAGAY POSITION,Anita NAGAY LAP TIME,Anita NAGAY ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME,Patrycja MALISZEWSKA POSITION,Patrycja MALISZEWSKA LAP TIME,Patrycja MALISZEWSKA ELAPSED TIME
3,14.97,14.97,4,15.13,15.13,2,14.93,14.93,1,14.82,14.82
3,12.08,27.05,4,11.94,27.07,2,12.00,26.93,1,11.98,26.80
1,10.63,37.68,4,11.08,38.15,3,11.01,37.94,2,11.03,37.83
1,10.36,48.04,4,10.22,48.37,3,10.31,48.25,2,10.30,48.13
1,10.22,58.26,4,10.21,58.58,3,10.20,58.45,2,10.22,58.35
1,9.93,1:08.19,4,9.88,1:08.46,3,9.90,1:08.35,2,9.92,1:08.27
1,9.77,1:17.96,4,9.96,1:18.42,3,9.81,1:18.16,2,9.76,1:18.03
1,9.64,1:27.60,4,10.12,1:28.54,3,9.67,1:27.83,2,9.68,1:27.71
1,9.61,1:37.210,4,10.91,1:39.442,3,9.65,1:37.477,2,9.71,1:37.412
