Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,Fedor ANDREYEV POSITION,Fedor ANDREYEV LAP TIME,Fedor ANDREYEV ELAPSED TIME,Matteo COMPAGNONI POSITION,Matteo COMPAGNONI LAP TIME,Matteo COMPAGNONI ELAPSED TIME
1,8.72,8.72,4,9.01,9.01,2,8.80,8.80,3,8.80,8.80,5,9.14,9.14
2,12.42,21.14,4,12.41,21.42,3,12.44,21.24,1,12.06,20.86,5,12.41,21.55
2,11.28,32.42,4,11.22,32.64,3,11.26,32.50,1,11.43,32.29,5,11.17,32.72
2,11.54,43.96,4,11.58,44.22,3,11.54,44.04,1,11.51,43.80,5,11.61,44.33
2,11.04,55.00,4,11.05,55.27,1,10.90,54.94,3,11.23,55.03,5,11.05,55.38
1,10.55,1:05.55,5,10.65,1:05.92,2,10.69,1:05.63,3,10.68,1:05.71,4,10.43,1:05.81
1,10.38,1:15.93,5,10.42,1:16.34,2,10.39,1:16.02,4,10.48,1:16.19,3,10.31,1:16.12
1,9.90,1:25.83,4,9.69,1:26.03,2,9.90,1:25.92,5,9.91,1:26.10,3,9.90,1:26.02
1,9.20,1:35.03,2,9.11,1:35.14,3,9.29,1:35.21,5,9.58,1:35.68,4,9.43,1:35.45
2,9.12,1:44.15,1,8.96,1:44.10,3,9.06,1:44.27,5,9.35,1:45.03,4,9.00,1:44.45
1,9.09,1:53.24,5,32.71,2:16.81,2,9.04,1:53.31,4,9.56,1:54.59,3,9.62,1:54.07
1,9.17,2:02.41,5,18.13,2:34.94,2,9.23,2:02.54,4,9.79,2:04.38,3,9.84,2:03.91
2,9.34,2:11.75,5,14.85,2:49.79,1,9.16,2:11.70,4,9.94,2:14.32,3,9.92,2:13.83
2,9.77,2:21.517,0,,PEN,1,9.50,2:21.191,4,10.32,2:24.640,3,10.14,2:23.969
