Anthony DOUGLAS POSITION,Anthony DOUGLAS LAP TIME,Anthony DOUGLAS ELAPSED TIME,TSAI Ping-Yuan POSITION,TSAI Ping-Yuan LAP TIME,TSAI Ping-Yuan ELAPSED TIME,LUI Pan To Barton POSITION,LUI Pan To Barton LAP TIME,LUI Pan To Barton ELAPSED TIME,Andre PULEC POSITION,Andre PULEC LAP TIME,Andre PULEC ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME
1,9.02,9.02,3,9.40,9.40,2,9.02,9.02,5,9.62,9.62,4,9.51,9.51
3,13.15,22.17,5,13.13,22.53,2,13.06,22.08,4,12.78,22.40,1,12.53,22.04
2,11.38,33.55,5,11.68,34.21,4,11.66,33.74,1,11.04,33.44,3,11.59,33.63
1,11.58,45.13,5,11.58,45.79,4,11.74,45.48,2,11.73,45.17,3,11.63,45.26
3,12.16,57.29,5,11.77,57.56,4,11.84,57.32,2,12.06,57.23,1,11.83,57.09
2,10.73,1:08.02,5,11.17,1:08.73,3,11.02,1:08.34,4,11.18,1:08.41,1,10.91,1:08.00
1,10.50,1:18.52,5,10.36,1:19.09,3,10.51,1:18.85,4,10.53,1:18.94,2,10.56,1:18.56
1,10.21,1:28.73,5,10.30,1:29.39,3,10.30,1:29.15,4,10.30,1:29.24,2,10.26,1:28.82
1,9.85,1:38.58,5,10.02,1:39.41,3,10.03,1:39.18,4,9.95,1:39.19,2,10.04,1:38.86
1,9.75,1:48.33,5,9.62,1:49.03,4,9.71,1:48.89,3,9.48,1:48.67,2,9.60,1:48.46
2,9.14,1:57.47,5,9.48,1:58.51,4,9.45,1:58.34,3,9.32,1:57.99,1,8.98,1:57.44
2,8.99,2:06.46,5,9.78,2:08.29,4,9.80,2:08.14,3,9.44,2:07.43,1,9.01,2:06.45
2,9.12,2:15.58,5,10.23,2:18.52,4,10.11,2:18.25,3,9.98,2:17.41,1,9.07,2:15.52
2,9.58,2:25.153,5,10.08,2:28.598,4,10.22,2:28.466,3,10.68,2:28.084,1,9.48,2:25.001
