LIU Qiuhong POSITION,LIU Qiuhong LAP TIME,LIU Qiuhong ELAPSED TIME,Jessica AUSMA POSITION,Jessica AUSMA LAP TIME,Jessica AUSMA ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME
3,14.48,14.48,2,14.32,14.32,1,14.28,14.28
3,10.26,24.74,1,10.16,24.48,2,10.33,24.61
3,10.00,34.74,1,10.06,34.54,2,10.04,34.65
3,10.39,45.13,1,10.41,44.95,2,10.38,45.03
2,10.82,55.95,3,11.18,56.13,1,10.82,55.85
2,10.44,1:06.39,3,10.38,1:06.51,1,10.41,1:06.26
2,10.34,1:16.73,3,10.48,1:16.99,1,10.34,1:16.60
1,10.00,1:26.73,3,10.59,1:27.58,2,10.34,1:26.94
1,10.09,1:36.818,3,10.84,1:38.417,2,10.37,1:37.302
