CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,KIKUCHI Moemi POSITION,KIKUCHI Moemi LAP TIME,KIKUCHI Moemi ELAPSED TIME,Laurie MARCEAU POSITION,Laurie MARCEAU LAP TIME,Laurie MARCEAU ELAPSED TIME
2,14.39,14.39,5,14.71,14.71,1,14.39,14.39,4,14.62,14.62,3,14.45,14.45
1,10.66,25.05,5,10.80,25.51,3,10.91,25.30,2,10.66,25.28,4,10.87,25.32
1,10.90,35.95,4,10.87,36.38,2,10.71,36.01,3,10.79,36.07,5,11.08,36.40
2,10.82,46.77,5,10.71,47.09,1,10.71,46.72,3,10.80,46.87,4,10.61,47.01
1,10.23,57.00,4,10.16,57.25,2,10.34,57.06,3,10.31,57.18,5,10.44,57.45
1,10.12,1:07.12,5,10.50,1:07.75,3,10.32,1:07.38,2,10.19,1:07.37,4,10.05,1:07.50
1,10.18,1:17.30,3,9.84,1:17.59,4,10.40,1:17.78,2,10.21,1:17.58,5,10.60,1:18.10
1,10.34,1:27.64,4,10.28,1:27.87,5,10.99,1:28.77,3,10.27,1:27.85,2,9.70,1:27.80
1,10.52,1:38.156,4,11.05,1:38.915,5,12.18,1:40.942,3,10.61,1:38.452,2,10.45,1:38.249
