PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,Vera TRYBUL POSITION,Vera TRYBUL LAP TIME,Vera TRYBUL ELAPSED TIME,THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME
2,7.58,7.58,1,7.49,7.49,3,7.74,7.74,5,8.05,8.05,4,7.83,7.83
2,9.61,17.19,1,9.61,17.10,3,9.56,17.30,5,9.85,17.90,4,9.54,17.37
2,8.81,26.00,1,8.80,25.90,3,8.80,26.10,5,9.11,27.01,4,8.81,26.18
2,8.97,34.97,1,8.99,34.89,2,8.87,34.97,5,9.30,36.31,4,8.93,35.11
4,9.64,44.593,1,9.22,44.11,2,9.29,44.26,5,9.58,45.883,3,9.38,44.474
