Chris CREVELING POSITION,Chris CREVELING LAP TIME,Chris CREVELING ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME
2,12.85,12.85,3,12.98,12.98,1,12.76,12.76,4,13.09,13.09
1,9.85,22.70,3,9.96,22.94,2,10.06,22.82,4,9.98,23.07
2,9.77,32.47,3,9.63,32.57,1,9.54,32.36,4,9.64,32.71
1,9.28,41.75,3,9.39,41.96,2,9.50,41.86,4,9.39,42.10
1,9.28,51.03,3,9.26,51.22,2,9.34,51.20,4,9.24,51.34
1,9.23,1:00.26,3,9.28,1:00.50,2,9.21,1:00.41,4,9.28,1:00.62
1,9.38,1:09.64,3,9.39,1:09.89,2,9.38,1:09.79,4,9.40,1:10.02
1,9.51,1:19.15,3,9.34,1:19.23,2,9.41,1:19.20,4,9.59,1:19.61
2,9.36,1:28.503,1,9.13,1:28.357,3,9.39,1:28.589,4,9.72,1:29.326
