Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,Liesbeth MAU ASAM POSITION,Liesbeth MAU ASAM LAP TIME,Liesbeth MAU ASAM ELAPSED TIME,Evita KRIEVANE POSITION,Evita KRIEVANE LAP TIME,Evita KRIEVANE ELAPSED TIME
1,13.45,13.45,2,13.54,13.54,3,13.67,13.67,4,13.67,13.67
1,10.40,23.85,2,10.47,24.01,4,10.50,24.17,3,10.35,24.02
1,10.28,34.13,3,10.35,34.36,4,10.33,34.50,2,10.20,34.22
1,10.67,44.80,4,10.69,45.05,3,10.55,45.05,2,10.67,44.89
1,10.20,55.00,3,10.17,55.22,4,10.26,55.31,2,10.21,55.10
1,10.24,1:05.24,3,10.27,1:05.49,4,10.32,1:05.63,2,10.25,1:05.35
1,10.36,1:15.60,3,10.35,1:15.84,4,10.31,1:15.94,2,10.37,1:15.72
1,10.04,1:25.64,2,10.07,1:25.91,4,10.17,1:26.11,3,10.22,1:25.94
1,10.09,1:35.724,2,9.86,1:35.765,3,10.17,1:36.271,4,10.59,1:36.525
