AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Volodymyr CHERNEGA POSITION,Volodymyr CHERNEGA LAP TIME,Volodymyr CHERNEGA ELAPSED TIME
4,13.962,13.962,2,13.573,13.573,3,13.766,13.766,1,13.445,13.445
4,10.186,24.148,3,10.356,23.929,1,9.968,23.734,2,10.311,23.755
4,9.623,33.771,1,9.471,33.400,2,9.768,33.502,3,9.920,33.674
3,9.610,43.380,1,9.642,43.041,2,9.599,43.101,4,9.731,43.405
4,9.758,53.138,2,9.757,52.798,3,9.781,52.882,1,9.245,52.649
4,9.694,1:02.831,1,9.499,1:02.297,2,9.617,1:02.499,3,9.864,1:02.513
3,9.417,1:12.248,1,9.660,1:11.957,2,9.737,1:12.235,4,10.109,1:12.622
1,9.107,1:21.354,3,10.024,1:21.980,2,9.316,1:21.551,4,10.166,1:22.787
1,9.54,1:30.893,3,10.43,1:32.407,2,9.47,1:31.017,4,10.65,1:33.436
