Fabrice DUFBERG SUH POSITION,Fabrice DUFBERG SUH LAP TIME,Fabrice DUFBERG SUH ELAPSED TIME,Joshua CHEETHAM POSITION,Joshua CHEETHAM LAP TIME,Joshua CHEETHAM ELAPSED TIME,GEORGIEV Dimitar POSITION,GEORGIEV Dimitar LAP TIME,GEORGIEV Dimitar ELAPSED TIME,VANHOOREN Rino POSITION,VANHOOREN Rino LAP TIME,VANHOOREN Rino ELAPSED TIME,NIESCIER Karol POSITION,NIESCIER Karol LAP TIME,NIESCIER Karol ELAPSED TIME
5,14.65,14.65,4,14.53,14.53,1,14.37,,2,14.42,14.42,3,14.47,14.47
5,11.83,26.48,3,11.72,26.25,1,11.77,,4,11.91,26.33,2,11.76,26.23
5,11.65,38.13,3,11.58,37.83,2,11.53,,1,11.21,37.54,4,11.74,37.97
5,10.34,48.47,3,10.54,48.37,2,10.51,,1,10.62,48.16,4,10.48,48.45
1,9.15,57.62,3,9.52,57.89,5,10.17,,2,9.58,57.74,4,9.65,58.10
1,9.08,1:06.70,3,9.03,1:06.92,5,9.24,,2,9.09,1:06.83,4,9.41,1:07.51
1,9.25,1:15.95,3,9.24,1:16.16,4,9.13,,2,9.21,1:16.04,5,9.59,1:17.10
1,9.30,1:25.25,3,9.27,1:25.43,4,9.44,,2,9.32,1:25.36,5,10.00,1:27.10
1,9.38,1:34.63,3,9.40,1:34.816,4,10.13,,2,9.34,1:34.70,4,10.77,1:37.844
