Anton SIMON POSITION,Anton SIMON LAP TIME,Anton SIMON ELAPSED TIME,Laszlo VRENCEAN POSITION,Laszlo VRENCEAN LAP TIME,Laszlo VRENCEAN ELAPSED TIME,Fumihiko KAKUBARI POSITION,Fumihiko KAKUBARI LAP TIME,Fumihiko KAKUBARI ELAPSED TIME,KOCARNIK Jan POSITION,KOCARNIK Jan LAP TIME,KOCARNIK Jan ELAPSED TIME,Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME
2,13.876,13.876,5,14.449,14.449,1,13.836,13.836,4,14.181,14.181,3,13.976,13.976
2,11.615,25.490,5,11.562,26.011,1,11.580,25.415,4,11.711,25.892,3,11.578,25.554
2,11.449,36.938,5,11.234,37.245,1,11.424,36.838,4,11.312,37.204,3,11.407,36.961
2,10.318,47.255,5,10.310,47.554,1,10.232,47.070,4,10.316,47.519,3,10.341,47.301
3,10.199,57.454,4,10.036,57.590,1,9.963,57.032,5,10.131,57.649,2,9.964,57.265
5,17.050,1:14.504,4,10.334,1:07.924,1,9.718,1:06.750,3,10.235,1:07.883,2,9.621,1:06.886
5,16.800,1:31.303,4,10.396,1:18.319,1,9.844,1:16.594,3,10.117,1:18.000,2,10.041,1:16.926
5,12.909,1:44.212,4,10.327,1:28.645,1,10.072,1:26.665,3,10.445,1:28.444,2,10.427,1:27.353
5,0.09,1:44.294,4,10.88,1:39.521,1,10.51,1:37.173,3,10.65,1:39.092,2,10.98,1:38.325
