Stephanie BOUVIER POSITION,Stephanie BOUVIER LAP TIME,Stephanie BOUVIER ELAPSED TIME,Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME,YANG Shin-Young POSITION,YANG Shin-Young LAP TIME,YANG Shin-Young ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME
1,14.663,14.663,2,14.674,14.674,4,15.088,15.088,3,15.015,15.015
1,11.202,25.864,2,11.248,25.921,4,11.112,26.200,3,11.129,26.143
1,10.712,36.576,2,10.692,36.613,3,10.697,36.897,4,10.816,36.959
1,10.335,46.911,2,10.406,47.019,4,10.381,47.278,3,10.246,47.205
2,10.146,57.056,1,10.004,57.023,4,10.023,57.301,3,10.086,57.292
1,9.732,1:06.788,2,9.866,1:06.889,3,9.756,1:07.057,4,9.804,1:07.095
1,9.558,1:16.347,2,9.502,1:16.391,3,9.501,1:16.558,4,9.483,1:16.578
2,9.645,1:25.991,4,9.738,1:26.129,1,9.369,1:25.926,3,9.491,1:26.069
2,9.690,1:35.681,4,9.827,1:35.956,1,9.553,1:35.479,3,9.697,1:35.766
