WANG Xue POSITION,WANG Xue LAP TIME,WANG Xue ELAPSED TIME,Kasandra BRADETTE POSITION,Kasandra BRADETTE LAP TIME,Kasandra BRADETTE ELAPSED TIME,Yuna KOIKE POSITION,Yuna KOIKE LAP TIME,Yuna KOIKE ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME
1,7.29,7.29,3,7.34,7.34,4,7.75,7.75,2,7.31,7.31
1,9.52,16.81,3,9.61,16.95,4,9.82,17.57,2,9.59,16.90
1,9.13,25.94,3,9.12,26.07,4,9.27,26.84,2,9.08,25.98
2,9.03,34.97,3,8.97,35.04,4,9.51,36.35,1,8.76,34.74
2,9.75,44.719,0,,PEN,3,9.68,46.028,1,9.06,43.793
