LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME
2,6.70,6.70,1,6.64,6.64,3,6.90,6.90,4,7.10,7.10
2,9.00,15.70,1,8.98,15.62,3,8.89,15.79,4,8.87,15.97
2,8.55,24.25,1,8.54,24.16,3,8.53,24.32,4,8.48,24.45
4,27.20,51.45,1,8.65,32.81,2,8.60,32.92,3,8.59,33.04
4,16.70,1:08.147,1,8.97,41.773,2,8.89,41.803,3,8.79,41.827
