SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,Benjamin KOCH POSITION,Benjamin KOCH LAP TIME,Benjamin KOCH ELAPSED TIME,SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME,Yevgen YAKOVLEV POSITION,Yevgen YAKOVLEV LAP TIME,Yevgen YAKOVLEV ELAPSED TIME,Matthew WILSON POSITION,Matthew WILSON LAP TIME,Matthew WILSON ELAPSED TIME
4,15.270,15.270,3,15.139,15.139,5,15.425,15.425,1,15.020,15.020,2,15.079,15.079
3,10.795,26.064,2,10.752,25.890,5,10.772,26.197,1,10.770,25.790,4,11.017,26.096
2,9.340,35.403,4,9.782,35.671,1,9.112,35.309,3,9.828,35.618,5,9.705,35.801
1,9.599,45.001,4,9.645,45.316,2,9.705,45.014,3,9.636,45.253,5,9.769,45.570
2,9.677,54.678,5,9.780,55.095,1,9.580,54.594,3,9.527,54.780,4,9.351,54.921
1,9.390,1:04.068,5,9.788,1:04.882,2,9.555,1:04.148,3,9.516,1:04.295,4,9.771,1:04.691
1,9.598,1:13.665,5,9.889,1:14.771,2,9.525,1:13.672,3,9.576,1:13.871,4,9.542,1:14.233
1,9.782,1:23.447,5,10.188,1:24.958,2,9.777,1:23.449,3,9.735,1:23.605,4,9.743,1:23.975
2,9.73,1:33.172,5,10.46,1:35.410,1,9.63,1:33.075,3,9.91,1:33.510,4,10.13,1:34.104
