Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,Fedor ANDREYEV POSITION,Fedor ANDREYEV LAP TIME,Fedor ANDREYEV ELAPSED TIME
2,14.35,14.35,4,14.71,14.71,3,14.53,14.53,1,14.22,14.22
3,10.88,25.23,1,10.27,24.98,4,10.84,25.37,2,10.92,25.14
2,9.93,35.16,1,10.12,35.10,4,9.96,35.33,3,10.03,35.17
2,9.71,44.87,1,9.71,44.81,3,9.64,44.97,4,9.87,45.04
2,9.51,54.38,1,9.49,54.30,3,9.50,54.47,4,9.57,54.61
1,9.19,1:03.57,2,9.31,1:03.61,3,9.23,1:03.70,4,9.28,1:03.89
1,9.14,1:12.71,3,9.30,1:12.91,2,9.12,1:12.82,4,9.17,1:13.06
1,9.33,1:22.04,3,9.36,1:22.27,2,9.31,1:22.13,4,9.32,1:22.38
1,9.44,1:31.477,3,9.45,1:31.719,2,9.42,1:31.545,4,9.49,1:31.864
