KOREA POSITION,KOREA LAP TIME,KOREA ELAPSED TIME,UKRAINE POSITION,UKRAINE LAP TIME,UKRAINE ELAPSED TIME,UNITED STATES POSITION,UNITED STATES LAP TIME,UNITED STATES ELAPSED TIME,D P R KOREA POSITION,D P R KOREA LAP TIME,D P R KOREA ELAPSED TIME
2,12.63,12.63,3,12.79,12.79,1,12.46,12.46,4,13.28,13.28
2,9.05,21.68,3,9.14,21.93,1,9.10,21.56,4,9.60,22.88
2,9.12,30.80,3,9.30,31.23,1,9.06,30.62,4,9.52,32.40
2,8.88,39.68,3,9.53,40.76,1,8.99,39.61,4,9.38,41.78
2,9.12,48.80,3,9.73,50.49,1,9.11,48.72,4,9.44,51.22
2,8.89,57.69,3,9.15,59.64,1,8.87,57.59,4,9.07,1:00.29
1,8.49,1:06.18,3,8.89,1:08.53,2,8.60,1:06.19,4,8.72,1:09.01
1,8.56,1:14.74,3,8.87,1:17.40,2,8.77,1:14.96,4,8.84,1:17.85
1,8.55,1:23.29,3,8.70,1:26.10,2,8.55,1:23.51,4,8.85,1:26.70
1,8.56,1:31.85,3,8.99,1:35.09,2,8.62,1:32.13,4,9.00,1:35.70
1,8.99,1:40.84,3,9.33,1:44.42,2,8.86,1:40.99,4,9.58,1:45.28
1,9.23,1:50.07,3,9.67,1:54.09,2,9.22,1:50.21,4,9.73,1:55.01
1,9.29,1:59.36,3,9.95,2:04.04,2,9.29,1:59.50,4,9.68,2:04.69
1,9.44,2:08.80,3,10.18,2:14.22,2,9.46,2:08.96,4,9.67,2:14.36
1,9.20,2:18.00,3,9.42,2:23.64,2,9.16,2:18.12,4,9.38,2:23.74
1,8.88,2:26.88,3,9.22,2:32.86,2,8.93,2:27.05,4,9.21,2:32.95
1,8.72,2:35.60,3,8.87,2:41.73,2,8.70,2:35.75,4,9.11,2:42.06
1,8.75,2:44.35,3,8.85,2:50.589,2,8.75,2:44.50,4,9.15,2:51.210
