Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME,Rudy KOEK POSITION,Rudy KOEK LAP TIME,Rudy KOEK ELAPSED TIME,Ian UPCOTT POSITION,Ian UPCOTT LAP TIME,Ian UPCOTT ELAPSED TIME
3,14.08,14.08,1,13.80,13.80,2,13.85,13.85
3,11.08,25.16,1,10.95,24.75,2,11.17,25.02
3,10.21,35.37,1,10.29,35.04,2,10.22,35.24
3,10.01,45.39,1,10.17,45.22,2,10.02,45.26
1,8.89,54.28,2,9.07,54.30,3,9.27,54.53
1,9.07,1:03.36,2,9.09,1:03.39,3,9.08,1:03.62
1,9.07,1:12.43,2,9.05,1:12.44,3,9.19,1:12.81
1,9.01,1:21.45,2,9.09,1:21.53,3,9.09,1:21.90
1,9.58,1:31.026,2,9.93,1:31.455,3,9.75,1:31.642
