Cees JUFFERMANS POSITION,Cees JUFFERMANS LAP TIME,Cees JUFFERMANS ELAPSED TIME,Sergei KASTOV POSITION,Sergei KASTOV LAP TIME,Sergei KASTOV ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME
2,7.101,7.101,4,7.315,7.315,3,7.237,7.237,1,6.836,6.836
2,9.413,16.513,4,9.457,16.771,3,9.334,16.570,1,9.292,16.128
2,8.931,25.444,3,9.421,26.192,4,41.763,58.333,1,9.024,25.151
2,9.307,34.750,3,9.541,35.733,4,15.489,1:13.821,1,9.404,34.555
1,9.37,44.118,3,9.92,45.646,4,12.86,1:26.673,2,9.88,44.434
