KIM Alang POSITION,KIM Alang LAP TIME,KIM Alang ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME
2,13.21,13.21,3,13.32,13.32,1,13.10,13.10,4,13.41,13.41,5,13.47,13.47
2,10.40,23.61,3,10.39,23.71,1,10.38,23.48,4,10.41,23.82,5,10.47,23.94
2,10.01,33.62,3,9.99,33.70,1,10.03,33.51,4,10.04,33.86,5,10.07,34.01
3,9.87,43.49,2,9.67,43.37,1,9.76,43.27,4,9.74,43.60,5,9.70,43.71
3,9.74,53.23,2,9.74,53.11,1,9.77,53.04,4,9.74,53.34,5,9.76,53.47
2,9.70,1:02.93,5,16.87,1:09.98,1,9.66,1:02.70,3,9.71,1:03.05,4,9.67,1:03.14
2,9.52,1:12.45,5,23.95,1:33.93,1,9.66,1:12.36,3,9.49,1:12.54,4,9.61,1:12.75
2,9.64,1:22.09,5,13.41,1:47.34,1,9.63,1:21.99,3,9.67,1:22.21,4,9.97,1:22.72
2,9.59,1:31.675,5,11.01,1:58.344,1,9.60,1:31.588,3,9.59,1:31.795,4,10.63,1:33.344
