Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME,WOLFGANG Matthias POSITION,WOLFGANG Matthias LAP TIME,WOLFGANG Matthias ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME
2,7.07,7.07,1,6.81,6.81,2,7.07,7.07,5,7.53,7.53,4,7.22,7.22
3,9.07,16.14,1,8.83,15.64,2,8.95,16.02,5,9.48,17.01,4,8.95,16.17
4,8.57,24.71,1,8.45,24.09,2,8.42,24.44,5,9.09,26.10,3,8.42,24.59
4,8.53,33.24,1,8.64,32.73,3,8.70,33.14,5,9.28,35.38,2,8.43,33.02
5,26.45,59.646,1,8.96,41.69,3,9.46,42.60,4,9.48,44.854,2,8.74,41.76
