Anastassiya KRESTOVA POSITION,Anastassiya KRESTOVA LAP TIME,Anastassiya KRESTOVA ELAPSED TIME,KIKUCHI Moemi POSITION,KIKUCHI Moemi LAP TIME,KIKUCHI Moemi ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME
2,7.60,7.60,3,7.75,7.75,1,7.37,7.37
2,9.73,17.33,3,9.76,17.51,1,9.46,16.83
2,9.35,26.68,3,9.24,26.75,1,9.07,25.90
3,27.35,54.03,2,9.46,36.21,1,9.36,35.26
0,,notime,2,9.68,45.881,1,9.59,44.848
