Edoardo REGGIANI POSITION,Edoardo REGGIANI LAP TIME,Edoardo REGGIANI ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,Daniel ZETZSCHE POSITION,Daniel ZETZSCHE LAP TIME,Daniel ZETZSCHE ELAPSED TIME
4,13.05,13.05,1,12.88,12.88,2,12.95,12.95,3,13.01,13.01
3,10.18,23.23,2,10.28,23.16,1,10.05,23.00,4,10.39,23.40
3,10.02,33.25,2,10.01,33.17,1,10.07,33.07,4,9.96,33.36
3,9.86,43.11,2,9.87,43.04,1,9.86,42.93,4,9.89,43.25
3,9.64,52.75,2,9.63,52.67,1,9.65,52.58,4,9.61,52.86
2,9.34,1:02.09,3,9.56,1:02.23,1,9.40,1:01.98,4,9.53,1:02.39
2,9.26,1:11.35,3,9.26,1:11.49,1,9.28,1:11.26,4,9.32,1:11.71
2,9.34,1:20.69,3,9.29,1:20.78,1,9.27,1:20.53,4,9.39,1:21.10
3,9.63,1:30.313,2,9.47,1:30.244,1,9.51,1:30.038,4,9.79,1:30.890
