Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME,Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME,Denis ZASLAVSKY POSITION,Denis ZASLAVSKY LAP TIME,Denis ZASLAVSKY ELAPSED TIME,SONG Suk-Woo POSITION,SONG Suk-Woo LAP TIME,SONG Suk-Woo ELAPSED TIME
3,13.134,13.134,1,12.799,12.799,4,13.330,13.330,2,13.041,13.041
2,9.865,22.999,1,9.863,22.662,4,9.763,23.092,3,9.967,23.008
2,9.620,32.618,1,9.648,32.310,4,9.693,32.785,3,9.613,32.620
3,9.498,42.116,1,9.562,41.871,4,9.501,42.285,2,9.497,42.116
3,9.426,51.541,1,9.478,51.348,4,9.458,51.742,2,9.417,51.533
1,9.110,1:00.651,2,9.493,1:00.841,4,9.190,1:00.932,3,9.343,1:00.876
1,9.114,1:09.764,4,9.358,1:10.199,3,9.193,1:10.125,2,9.083,1:09.958
2,9.287,1:19.050,4,9.177,1:19.375,3,9.232,1:19.356,1,8.997,1:18.955
2,9.50,1:28.547,4,9.67,1:29.039,3,9.43,1:28.778,1,9.51,1:28.461
