Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,Jonas KAUFMANN-LUDWIG POSITION,Jonas KAUFMANN-LUDWIG LAP TIME,Jonas KAUFMANN-LUDWIG ELAPSED TIME
1,6.80,6.80,3,6.93,6.93,2,6.91,6.91,4,7.15,7.15
2,9.14,15.94,3,9.09,16.02,1,8.92,15.83,4,8.95,16.10
2,8.67,24.61,3,8.67,24.69,1,8.67,24.50,4,8.79,24.89
2,8.84,33.45,3,8.91,33.60,1,8.69,33.19,4,8.80,33.69
2,8.90,42.345,3,8.89,42.484,1,9.13,42.314,4,9.08,42.766
