VALCEPINA Arianna POSITION,VALCEPINA Arianna LAP TIME,VALCEPINA Arianna ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,UZAKOVA Mariia-Mahdalyna POSITION,UZAKOVA Mariia-Mahdalyna LAP TIME,UZAKOVA Mariia-Mahdalyna ELAPSED TIME,YAKIMOVA Anna POSITION,YAKIMOVA Anna LAP TIME,YAKIMOVA Anna ELAPSED TIME,DAUDET Gwendoline POSITION,DAUDET Gwendoline LAP TIME,DAUDET Gwendoline ELAPSED TIME,Lilia DZHUSTROVA POSITION,Lilia DZHUSTROVA LAP TIME,Lilia DZHUSTROVA ELAPSED TIME
3,13.20,13.20,5,13.39,13.39,1,13.08,13.08,6,13.60,13.60,4,13.25,13.25,2,13.10,13.10
2,21.90,35.10,1,21.69,35.08,4,22.18,35.26,5,21.71,35.31,6,22.15,35.40,3,22.15,35.25
4,16.94,52.04,1,16.45,51.53,2,16.43,51.69,3,16.54,51.85,6,16.91,52.31,5,16.91,52.16
4,14.56,1:06.60,1,14.68,1:06.21,2,14.66,1:06.35,3,14.62,1:06.47,6,14.53,1:06.84,5,14.57,1:06.73
3,13.85,1:20.45,1,14.05,1:20.26,2,14.05,1:20.40,4,14.07,1:20.54,6,13.96,1:20.80,5,13.95,1:20.68
3,13.40,1:33.85,2,13.57,1:33.83,1,13.32,1:33.72,6,13.63,1:34.17,4,13.12,1:33.92,5,13.39,1:34.07
3,10.86,1:44.71,4,11.07,1:44.90,2,10.89,1:44.61,6,11.04,1:45.21,1,10.60,1:44.52,5,11.05,1:45.12
3,11.09,1:55.80,5,11.11,1:56.01,2,11.16,1:55.77,6,10.91,1:56.12,1,11.18,1:55.70,4,10.80,1:55.92
1,10.10,2:05.90,4,10.30,2:06.31,3,10.30,2:06.07,6,10.48,2:06.60,2,10.28,2:05.98,5,10.43,2:06.35
1,10.01,2:15.91,4,9.88,2:16.19,3,9.99,2:16.06,6,9.95,2:16.55,2,9.99,2:15.97,5,10.19,2:16.54
4,10.27,2:26.18,2,9.70,2:25.89,1,9.81,2:25.87,5,9.70,2:26.25,3,10.03,2:26.00,6,10.39,2:26.93
4,9.51,2:35.69,1,9.21,2:35.10,2,9.58,2:35.45,5,9.94,2:36.19,3,9.57,2:35.57,6,10.93,2:37.86
4,9.60,2:45.29,1,9.51,2:44.61,2,9.59,2:45.04,5,10.34,2:46.53,3,9.68,2:45.25,6,11.63,2:49.49
4,10.38,2:55.671,1,9.90,2:54.51,2,9.76,2:54.80,5,10.67,2:57.207,3,9.80,2:55.05,6,13.05,3:02.545
